[27][2020-03-30 15:38:59,455][INFO ][Mr.G] Content:[UserInfo]-[GetAllUser],÷¥––£∫120ms,‰÷»æ£∫11ms,[::1],[Chrome80]
[27][2020-03-30 15:39:06,042][INFO ][Mr.G] Content:[UserInfo]-[AddUserInfo],÷¥––£∫12ms,‰÷»æ£∫0ms,[::1],[Chrome80]
[65][2020-03-30 15:41:42,755][INFO ][Mr.G] Content:[UserInfo]-[GetAllUser],÷¥––£∫1432ms,‰÷»æ£∫37ms,[::1],[Chrome80]
[65][2020-03-30 15:41:55,378][INFO ][Mr.G] Content:[UserInfo]-[DeleteSingle],÷¥––£∫367ms,‰÷»æ£∫0ms,[::1],[Chrome80]
[65][2020-03-30 15:41:56,182][INFO ][Mr.G] Content:[UserInfo]-[GetAllUser],÷¥––£∫3ms,‰÷»æ£∫0ms,[::1],[Chrome80]
[65][2020-03-30 20:42:25,826][INFO ][Mr.G] Content:[UserInfo]-[GetAllUser],÷¥––£∫29ms,‰÷»æ£∫2ms,[::1],[Chrome80]
[65][2020-03-30 20:42:26,564][INFO ][Mr.G] Content:[UserInfo]-[GetAllUser],÷¥––£∫1ms,‰÷»æ£∫0ms,[::1],[Chrome80]
[65][2020-03-30 20:42:39,394][INFO ][Mr.G] Content:[UserInfo]-[AddUserInfo],÷¥––£∫98ms,‰÷»æ£∫0ms,[::1],[Chrome80]
[65][2020-03-30 20:42:40,654][INFO ][Mr.G] Content:[UserInfo]-[GetAllUser],÷¥––£∫1ms,‰÷»æ£∫0ms,[::1],[Chrome80]
[65][2020-03-30 20:42:45,632][INFO ][Mr.G] Content:[PublicInformation]-[GetPubicInformation],÷¥––£∫60ms,‰÷»æ£∫0ms,[::1],[Chrome80]
[65][2020-03-30 20:42:47,072][INFO ][Mr.G] Content:[PublicInformation]-[GetPubicInformation],÷¥––£∫17ms,‰÷»æ£∫0ms,[::1],[Chrome80]
[65][2020-03-30 20:42:48,236][INFO ][Mr.G] Content:[PublicInformation]-[GetPubicInformation],÷¥––£∫1ms,‰÷»æ£∫0ms,[::1],[Chrome80]
[65][2020-03-30 20:42:49,062][INFO ][Mr.G] Content:[PublicInformation]-[GetPubicInformation],÷¥––£∫1ms,‰÷»æ£∫0ms,[::1],[Chrome80]
[65][2020-03-30 20:42:49,722][INFO ][Mr.G] Content:[PublicInformation]-[GetPubicInformation],÷¥––£∫1ms,‰÷»æ£∫0ms,[::1],[Chrome80]
[65][2020-03-30 20:42:50,458][INFO ][Mr.G] Content:[PublicInformation]-[GetPubicInformation],÷¥––£∫1ms,‰÷»æ£∫0ms,[::1],[Chrome80]
[65][2020-03-30 20:42:51,195][INFO ][Mr.G] Content:[PublicInformation]-[GetPubicInformation],÷¥––£∫1ms,‰÷»æ£∫0ms,[::1],[Chrome80]
[65][2020-03-30 20:43:18,061][INFO ][Mr.G] Content:[UserInfo]-[GetAllUser],÷¥––£∫2ms,‰÷»æ£∫2ms,[::1],[Chrome80]
